编号	是什么	为什么	出处	何时消除
D66	⚠️ **部分消除**（D131 片：`ElixirBarTick`(160) 已接进 `HudPanel` —— `BuildElixir()` 建 9 条刻度 = **10 格**）原记录：对局 HUD·**圣水刻度 / 需求条素材已登记键但未绘制**	`ElixirBarTick`(160) / `ElixirRequirementTrack`(161) / `ElixirRequirementEnd`(162) 已落地（AA2）并登记键（AB4），但 `HudPanel` 这一版没有画它们（AB2 片无这些键可用）	`ResPaths.cs:347/355/363`；`策划/战斗HUD素材索引.md` §3.1；AB2 对照表行 C15/C16	**已部分消除（见「是什么」列）**；剩余 = `ElixirRequirementTrack`(161) / `ElixirRequirementEnd`(162) 两条「卡牌所需圣水」条**仍未接**（本片边界只到刻度；用户本轮判词是「圣水条没格子 ⇒ 一个圣水不是一个格子吗」，只判格）。⛔ 161/162 的摆放几何在索引 §2.1 第 2 条下同样「未解出」，按下一次 HUD 片按基线量取再接
D67	UI 图元·`PanelPaper*` 5 键（806 / 807 / 808 / 811 / 812）的 **9-slice 方位无法判定**	这 5 个 shape**不被任何 `0c` 动画引用** ⇒ 原版没给它们名字；`.sc` 的 `0c` 三元组语义未解出 ⇒ 方位无权威依据。实际影响 = 0（`CrUiStyle.ContentPanel` 只引 806，**未引** 807/808/811/812）	`策划/原版UI图元更正表.md` 第 1~5 行 + §1.1； B1~B5；`ResPaths.cs:196-209`	解出 9-slice 几何或拿到原版布局数据
D68	UI 图元·`ButtonCapsule` 键名声明「白色胶囊」**与实际（绿色圆角件）不符**，且「白色胶囊」**源内无对应**	`ui.sc` 的 export 表里**没有**「白色胶囊按钮底」命名（`button_*` 只有 `button_timeline` / `button_small_orange` / `button_small_square_orange` / `button_share_deck` / `full_page_button_tab*`）；更正表**未给本键用途的替代帧** ⇒ 按规则不自行挑帧；白色按钮底一律用 `ButtonWhite`=476	`策划/原版UI图元更正表.md` 第 12 行 + §3；`Y2-允许差异.md` C2 / D2；`ResPaths.cs:254-257`	**永久保留**（有白色按钮需求时用 476）
D69	UI 图元·**治疗图标源内无对应**（本项目无此图元）	`ui.sc` 里**无任何 heal 命名**	`策划/原版UI图元更正表.md` 第 47 行 + §3；`Y2-允许差异.md` C3	**永久保留**（确有需求用 `IconPlus`=521）
D70	UI 图元·`CardFrameGlowLegendary` **残留在 `UiPanelsDir` 归类目录**下	`.sc` **不含目录概念** ⇒ 目录名是本项目自定的归类标签，无权威可依；搬目录零画面收益	`Y2-允许差异.md` D1r；`ResPaths.cs:214-226`	无（本项目归类标签，可永久保留）
D71	UI 图元·`ChatBubble` **残留在 `UiSlotsDir` 归类目录**下	同 D70（`.sc` 不含目录概念）	`Y2-允许差异.md` D4r；`ResPaths.cs:363`	无（可永久保留）
D72	结算界面需要的「**金色宽底条**」**无帧可复制**	原版 `win_reward_bar`（`策划/原版UI素材名称索引.md` 第 676 行＝row 545，clip 4492）的**帧列表 = `—`（空 clip）** ⇒ 没有可用素材；⛔ 不许拿 24×24 方块拉宽冒充	`Y2-允许差异.md` D3r；`策划/原版UI素材名称索引.md` 第 676 行	找到原版金色宽底条素材后
D73	证据缺口·`Y2-mainmenu.png` **未采成主菜单**（`capture_game_view` 因路径在 Unity 工程根之外被拒 ⇒ 渲染出的是登录界面）	本项目竖版硬口径下的采集基建限制；该图**不能当作主菜单的表现类证据**	`.ai-tmp/test/Z2-report.md` §2 `Y2-CAP`；`.ai-tmp/screenshots/Y2-mainmenu.png`	重新在 `client/` 内落图并拷出后（主菜单的既有证据仍用 G2 截图，未受影响）
D74	证据缺口·`.sc` 的**绝对屏幕像素未解出**（root 局部系 ≠ 手机屏系）	`0c` 的 cnt1 三元组语义未解出、无参考实现可依 ⇒ 只能做**相对步进**互证（见 `对照表.md` A54）；绝对坐标需引擎侧布局代码或用户给锚点	`策划/原版UI布局坐标.md` §5 F1	解出 `0c` cnt1 语义 / 拿到原版锚点表
D75	✅ **已消除**（AD1 片修复：`Bars/loading_out/frame_015.png`(115×39) 与 `Icons/loading_out/frame_028.png`(520×224) 两帧已按 `copy-ui-assets.py` 口径恢复、`pixel_identical=True`、`Test-Path` True；`check-ui-keys.ps1` 新增 **D 段**（扫任意 `.cs` 里经 `UiFrame(...)`/`Sprites/Ui` 拼出的引用），并用**负向测试**证明可抓此类（临时改名 frame_015 → `FAIL=2` 含 `D:` 项，还原 → `FAIL=0`）；复跑 `SUMMARY: FAIL=0 keys=83 landed=83`）。原记录如下 —— ⛔ **素材回归（缺陷，不是"允许的差异"）**：`Sprites/Ui/Bars/loading_out/frame_015.png` 与 `Sprites/Ui/Icons/loading_out/frame_028.png` **已被 AB3 删除**（两目录现为空目录、仅剩 `.meta` folder），但 `CrUiStyle.LoadingBarFill`（`CrUiStyle.cs:277` = `UiFrame(UiBarsDir,"loading_out",15)`）与 `CrUiStyle.LogoOfficial`（`CrUiStyle.cs:274` = `UiFrame(UiIconsDir,"loading_out",28)`）**仍指向它们** ⇒ 当前构建下 `Resources.Load` 返回 null（启动页 LOGO / 加载页读条填充 / 设置面板滑块填充 三处素材不可达）	AB3 的删除依据 = `tools/probes/check-ui-keys.ps1` 判「无键引用」—— 但该探针只扫 `ResPaths` 的**常量键**，扫不到 `CrUiStyle` 里经 `ResPaths.UiFrame(...)` 拼出的**动态路径** ⇒ **假阴性**。⛔ 本收口片不改业务代码 / 不删改素材，只如实登记	`.ai-tmp/test/AB3-report.md` §3；`client/Assets/Scripts/UI/CrUiStyle.cs:274,277`；`client/Assets/Scripts/Core/ResPaths.cs:183-186`；离线核对：`Get-ChildItem -LiteralPath …\Sprites\Ui\Bars\loading_out, …\Sprites\Ui\Icons\loading_out -Recurse -File` ⇒ **0 文件**	已消除（AD1，两帧已复制回并照抄 .meta；细则见「是什么」列）
D76	原版资源 34 个源目录未搬运（level_*_arena_out ×11、debug_out、tutorial_out、ui_chest*_out、ui_arena_out、chr_*_out ×8、building_*_out ×3）	① 11 个 level_*_arena_out 属其它竞技场；② debug/tutorial/ui_chest/ui_arena 属明确不做的养成/其它模式；③ chr_*/building_* 不在参考规格 §6 的 60 卡素材目录表内；④ 按「只复制被引用的那几个」口径故未全量搬运	策划/策划案/皇室战争参考规格.md §6 / §0； #12	用户要求扩展竞技场 / 补做这些卡时
D78	D6 特效缺口：命中/死亡共用 Hit 闪光（无法区分）、每次开火（攻击挥砍）无特效、EvSpawn(kind==1) 召唤特效无接线	① 协议只有 kind 0..5 六种（无「命中」vs「死亡」区分）；② 特效池只有 Hit/Blast/Arrow 三类；③ 无「攻击」事件，且 effects_out 612 帧无权威帧号↔用途映射（不猜帧号）	.ai-tmp/test/AH2-report.md §3 R12/R13/R14	服务端补 kind/事件 + 解出特效帧号映射后
D79	D8 音效缺口：整包无 UI hover 音、无投降专用音、kind==1 生成不播	原版整包 2953 个文件逐词穷举无 hover 音与投降音；kind==1（生成）无对应 clip	.ai-tmp/test/AH2-report.md §2 R3/R6/R9	拿到含该音的原版素材后
D80	✅ **已消除**（AJ2 片复采四个触发点全部采到：R7 倒计时（22:27:34.064）/ R8 非法放下（22:11:45.630）/ R10 圣水不足（22:27:23.654）/ R11 平局（22:11:42.520））原记录：D8 四个触发点实机未采到日志（倒计时最后 10s / 非法放下 / 圣水不足被拒 / 平局）	接线与代码路径已完成、触发断言已给；本轮 3 次 Play 只有第 1 次进了可玩对局（后两次 station 停在 MainMenu）	.ai-tmp/test/AH2-report.md §2 R7/R8/R10/R11 + §7 未决 1；策划/对照表.md C81–C84	已消除（AJ2，四触发点全部采到；细则见「是什么」列）
D77	竞技场底图 Base 节点 = 纯色兜底色块（非原版像素）	ArenaView.BuildBaseQuad 用 WhiteSprite + 纯色 BaseGrassColor(154,182,85) 铺 18×32；正常路径下被 Art 段盖住，仅在 Art 逐帧取不到时可见	client/Assets/Scripts/View/ArenaView.cs:355-369； #8	改用原版草地帧后
D81	圣水·客户端 HUD 读数读到**旧房帧** ⇒ 与服务端权威值不一致	同一时刻服务端存在「上一局未结束的旧房」（logic/room.go:1173-1175 旧房不退出 + logic/battle.go:227-235 继续推 + 快照无 room_id + 客户端只按 seq 过滤）	.ai-tmp/test/AK2-report.md §3；server/logs/2026-09-21-all.log:1032/1051/1059（-12 与 -13 重叠 24 s 双推）	快照携 room_id 或旧房正确退出后（未修）
D82	✅ **已消除**（AJ2 片修复：`CR.UI.TextFit.Clamp` 接入 6 面板 14 处可变长文本，MainMenuPanel 超长昵称已截断+省略号）原缺陷：MainMenuPanel 超长昵称不截断（len=1184，rectW=808，preferredW=24576，Wrap 不截断）⇒ 文字覆盖整个面板	不截断导致文字溢出控件并叠到其他 UI 上	aj2Step9/10 断言（shownWidth 796.0 = uGUIpreferredW 796.0 ≤ rectW 808.0）；.ai-tmp/screenshots/AJ2-longnick.png；策划/对照表.md（AL2 折入行 A55–A63 / C79–C84） D 段 #1	已消除（AJ2 已闭环；细则见「是什么」列）
D83	✅ **已消除**（AJ2 片修复：BattleViewRoot._inBattle 门 + 兜底重建判据）原缺陷：回主菜单后 BattleContent 常驻根未清空（残留 1 个激活 UnitView(chr_pekka_out) + EffectsView + BattleAudio）	场景已卸载但对象仍在⇒ 跨局对象泄漏（视觉不可见，但计数会漂）	aj2Step8 RESIDUAL#2 全 0（unitViews=0 fxViews=0 battleContent=NONE battleAudio=NONE）；策划/对照表.md（AL2 折入行 A55–A63 / C79–C84） D 段 #2	已消除（AJ2 已闭环；细则见「是什么」列）
D84	观察（非出货缺陷）：新 Play 冷启动时 AppFlow.Instance 残留卡在 Boot/Launching	EditorSettings.asset:29-30 m_EnterPlayModeOptionsEnabled:1 + m_EnterPlayModeOptions:1（= DisableDomainReload）⇒ 静态单例 AppFlow.Instance 跨 Play 不复位；player 每次启动都是新进程 ⇒ 非出货缺陷	策划/对照表.md（AL2 折入行 A55–A63 / C79–C84） D 段 #5（client/ProjectSettings/EditorSettings.asset:29-30）	不消除（编辑器现象；recompile/stop-play 即恢复）
D85	观察（待确认）：进对局后手牌显「卡 id=」（卡池未到达）、DeckEditPanel 卡池 0 张无法选卡	运行时 Warn「卡池还没到达…手牌只能显示卡 id」；待确认服务端卡池补发时序	策划/对照表.md（AL2 折入行 A55–A63 / C79–C84） D 段 #4；AI2-05/07 实图	服务端卡池补发时序确认后
D86	卡组编辑·满 8 张时卡池格未置灰（点击仍被受理）	期望「已满 8 张不可再加 / 卡池卡置灰」，实测满 8/8 时卡池格仍 interactable、点击被受理（res=CLICKED）；代码分支（DeckEditPanel.cs:451-455）是「超上限写状态行提示、不改可点性」。⚠️ 本片点到的第 9 张恰好是「已选」卡 ⇒ 走「点已选=移除」分支，「点未选新卡」这一支未实机补采（AL3 报告因此标 未判，收口片按本项目口径折为已登记差异）	.ai-tmp/test/AL3-evidence.txt step10: deck.selectedAfterFill=8 / 9thPick card=0 res=CLICKED cellInteractable=interactable；DeckEditPanel.cs:451-455；状态矩阵 L436 结论 = 允许的差异（D86）	主 agent 决定是否改为「满 8 置灰」（改 DeckEditPanel 可点性一处，须重采 L436 一行）
D87	证据缺口·房间列表凑不满 5 项 ⇒ 「满项 / 滚动条可用」边界未采（#16 未判）	服务端此刻只有 1 间房；本片建的房在「离开房间」后被服务端 tidy 回收 ⇒ 5 行满项不可达。已采相邻证据：单行渲染完整且已开打行的「加入」按钮置灰（join0=DISABLED）	.ai-tmp/test/AL3-evidence.txt step30: Header='共 1 间房间' row0='[r1790002109533-4] 人机对战  2/2 人 · AI 补位：开 · 已开打…' join0=DISABLED；RoomListPanel.cs:55-56/304-317	需要 ≥5 间房同时存在的场景（或服务端不再回收「离开」的房间）后补采
D88	证据缺口·RoomPanel 超长房名 / 昵称的实际显示未采到（#17 未判）	建房用了 32 字符房名，但 (a) 建房同帧 dump 时服务端房间态尚未到达（RoomInfo='正在获取房间状态…'），(b) 离开后该房被服务端回收、列表里已不存在 ⇒ 未采到长名实际显示。代码侧确有 TextFit.Clamp（RoomPanel.cs:359 房名 / :388 昵称）	.ai-tmp/test/AL3-evidence.txt step15（state 未到）/ step30（列表已无该房）；RoomPanel.cs:359/388	补采一次「建房 → 等 state 到达 → dump RoomPanel 长名」后
D89	证据缺口·客户端 60 单位场景帧时间未采到（#22 未判）	本片对局存活单位峰值仅 7（CR.View.BattleViewRoot.Instance.LiveUnitCount）⇒ 60 单位场景不可达；60 单位证据目前只有服务端 TestPerfFullMatch，客户端侧仍空白	.ai-tmp/test/AL3-evidence.txt step25-31 PerfLine units=1→7；状态矩阵 L3406	一次更长对局让单位累积到 ~60 后采样（客户端侧）
D90	客户端主菜单显示昵称 `玩家`，服务端权威值为 `克洛弗`（显示不一致）	MsgSetNickname 成功后主菜单 PlayerBar 标签未按返回刷新（或显示的是占位串）；服务端日志两次回读均为 `克洛弗` ⇒ 属客户端显示层不一致，非数据层	AN1-report.md §5；AN1-evidence.txt step7/step11：客户端 dump step7/step11 `[Nickname]='玩家'`；server/logs/2026-09-22-all.log 10:16:41 `设置昵称成功 player=p_cr_cli nickname="克洛弗"`	待 AO1 修复后消除
D91	游戏视图采幅 = 1368×532（应为 1080×1920）	`CaptureGameView` 反射按 PlayModeView target size 出图（编辑器 Game 视图当前尺寸 1368×532，而 `Screen=1920x1080`）⇒ 重采图**内容正确但画幅**与旧证据（1080×1920）不一致	AN1-report.md §5.4；AN1-evidence.txt step0/step12：`source=screen` 出图 1368×532；对照表 G2 `screen=1080x1920`	待 AO1 修复后消除
D92	D11 触屏/多点：本项目不适用（目标平台 = PC 鼠标）	原版为移动端（触屏 / 多点）；本项目目标平台按任务书定为 PC 鼠标 ⇒ 该维度无采集动作	任务书 §③/#2；状态矩阵 L40；AN1-report.md §5.3	不清除（本项目范围；目标平台改为触屏时重开）
D93	证据缺口·T3 单位动画逐帧位移 before/after 图未重采（`evidence-freshness` 唯一剩余过期对）	其判据是「逐帧换帧位移 max=0.000 px」的**运行时逐帧采样**（需专用多帧采样器跑满一轮对局）；AN1 唯一的 Play 窗口已用于「昵称回滚 + 5 张重采 + 等自然结算读 #14」（自然结算耗时 ~180 s）	AN1-report.md §5.1；tools/verify.ps1 evidence-freshness	专开一条 Play 跑 UnitView 帧位移采样器后补采
D94	环境·`360tray` 进程在跑，且 `tools/env-check.ps1` 未跑	AN1 本片无「卡 / 掉帧」结论需求（只判数值与截图新鲜度）⇒ 未据环境自检下性能结论；360 未关会影响编辑器启动	AN1-report.md §5.5：`360tray` pid 15372	需要性能结论前跑一次 `tools/env-check.ps1`（并确认 360 已关）
D95	引擎仓库被外部写入方持续改注释（17 文件 / 27 行 / 波次 mtime）	非本项目所为：我方零引擎写操作时其 *.cs mtime 仍在变（3.1 分钟观察窗 7 次采样，被改文件 mtime 哈希 5B1608371A75→66D39D4ADA6F）；性质=删注释前缀，17 文件 27 插入/27 删除，54 改动行中 48 行为 // 注释行，无新增/删除文件（A=0/D=0）	 + AP1-engine-diff.txt（git status --short / diff --stat / diff 原文）	外部写入方停止后（或引擎仓库提交/还原后）消除；期间 freeze-before-capture 已按作用域修正（不扫外部依赖 mtime）
D96	61 个格的 `attack` 档不可用 ⇒ 回落「整目录循环」	客户端现表 `UnitAnimTable.cs` 按 **AS1 旧口径**生成，而该口径缺 `sid→shape 记录序` 查表（AT1 已查清根因：“越界 id” 实为嵌套 clip 的 id）⇒ 本可解析的帧段被判越界	（attack 非 OK = 61）；`.ai-tmp/test/AT2-stats.txt`	用 AT1 新口径重跑 `tools/probes/sc-as1-index.py --all` + `.ai-tmp/test/AT2-gen-table.py` 重生成 `UnitAnimTable.cs`（61→39） ⇒ **已执行（BC1，2026-09-22 13:41:42）**：`UnitAnimTable.cs` 已按 AT1 口径整文件重出 —— 实测 **54 目录 / 149 档**（idle 49 / walk 48 / attack 50 / die 2），attack 档不可用由 **61 格 → 4 格**（54 个目录各 1 个 attack 槽位，known 50）。出处：`.ai-tmp/test/BC1-count.py` 输出 `NEW dirs=54 clipSlots=216 knownTiers=149 idle=49 walk=48 attack=50 die=2`（对照 `OLD(bak)` = `dirs=45 ... knownTiers=108`）。**状态：基本消除（仅余 4 格，随该 4 目录补 `.sc` 帧段即可清零）**
D97	`die` 档 88 个格「未找到」 ⇒ 死亡仍整目录、播完停末帧	素材单位 `.sc` 里没有 `die*` 语义的 export（AT1 逐目录核过：die 可用仅 1~3 格）	`策划/单位帧段表.md` §2；（die 列）	拿到带死亡动画的 `.sc` / 素材后重跑 AS1 + AT1 ⇒ **已定论（BC1，2026-09-22）**：对 `原版资源/sc/` 全部 **89 个 `.sc`** 用 AT1 解析器逐 export 穷举（`BC1-d97-exports.tsv` 5341 行），13 个英文 + 5 个中文 die 词表（`BC1-d97-words.tsv`）命中 **0** ⇒ **素材单位 `.sc` 内不存在可用的 die 帧段/导出名，非解析缺陷**（38 张按动画族去重的 `BC1-die-*.png` 为旁证）。**状态：维持（不硬填、不造假帧段；die 档继续走整目录循环）**
